term,gloss,is_phrase,repaired,original_key
ძლით,ძალით,False,False,
გემოჲ არა რაჲსაჲ იხილა,არაფერი ჭამა,True,False,
რაჲთამცა იგი ხოლო შესუა,რომ მხოლოდ ის დაელია,True,False,
რისხვით,მრისხანედ,False,False,
ოდეს,"როდის, როცა",False,False,
ყოფილ არს,ყოფილა,True,False,
თუმცა მამათა და დედათა ერთად ეჭამა პური,რომ მამაკაცებსა და ქალებს ერთად ეჭამათ,True,False,
განყარა ჴელი,ხელი გაიქნია,True,False,
დაითხია,დაიღვარა,False,False,
იწყო,დაიწყო,False,False,
უჯეროსა გინებად,უხამსო გინება,True,False,
ფერჴითა,ფეხით,False,False,
დასთრგუნვიდა,"თელავდა, სცემდა",False,False,
ასტამი,ნაკვერჩხლის და ნაცრის გამოსაჩხრეკი,False,False,
ჩაჰფლა,ჩაარტყა,False,False,
დაუბუშტა,დაუსივა,False,False,
ყიოდა,"ყვიროდა, ღმუოდა",False,False,
იზახდა,ყვიროდა,False,False,
ვითარცა ცოფი,როგორც გიჟი,True,False,
შუელად აღდგა,მოეშველა,True,False,
გუემა იგიცა,სცემა მასაც,True,False,
მოხეთქა,დაარტყა,False,False,
ჭირით,გაჭირვებით,False,False,
გამოუღო,გამოჰგლიჯა,False,False,
თესლ,"ტომი - ჯიში, შთამომავლობა",False,False,
სახლისა მაოჴრებელი,"ოჯახის დამქცევი, ამაოხრებელი",True,False,
სახელ–სდებდა,უწოდებდა,False,False,
ბორკილთა შესხმაჲ,ბორკილების დადება,True,False,
რაჲთამცა საკრველთა მათგან განეტევა,რომ ბორკილთაგან გაეთავისუფლებინა,True,False,
განტევებაჲ,გათავისუფლება,False,False,
კრძალულად დაცვაჲ,საიდუმლოდ დაცვა,True,False,
ვითარმედ,რომ,False,False,
ვითარ არს,როგორ არის,True,False,
ვერ განსარინებელ არს,ვერ გადარჩება,True,False,
თჳთ,თვითონ,False,False,
დაუკჳრდა,გაუკვირდა,False,False,
ნუმცა ვინ შევალს ხილვად მისა,ნუვინ შევა მის სანახავად,True,False,
ნადირობად წარვიდა,სანადიროდ წავიდა,True,False,
უუკუე ცნას,რომ გაიგოს,True,False,
თუცა,თუნდაც,False,False,
მისთჳს,მის გამო,False,False,
ხატი,სახე,False,False,
დაბძარული,დახეთქილი,False,False,
აღუტევე ჴმაჲ და ვტიროდე,ხმამაღლა ვტიროდი,True,False,
დასაბამი,დასაწყისი,False,False,
შთახუეულ,ჩაყრილი,False,False,
სალბუნი,მალამო,False,False,
"ჰე, ღა-მე",თუ - ეგებ,True,True,"ჰე, ღა"
რამეთუ,"რომ, რადგანაც",False,False,
მოეძღუანა,გამოეგზავნა,False,False,
იღუწიდეს,ზრუნავდნენ,False,False,
ხუცეს,მღვდელო (წოდებით ბრუნვა),False,False,
ძალ-მიც,შემიძლია,True,True,ძალ
გემოჲს-ხილვად,აქ: ჭამა,True,True,გემოჲს
შთამუსრვილი,ჩამტვრეული,False,False,
ვისწრაფდი გამოსვლად,ვჩქარობდი გამოვსულიყავი,True,False,
ნუუკუე ითხოვდეს,ეგებ ითხოვდეს,True,False,
არღარად მეჴმარების,აღარაფრად მესაჭიროება,True,False,
ისწრაფი,ჩქარობ,False,False,
იყოს შენ თანა,გქონდეს,True,False,
ჩუენღა ამას განვიზრახევდით,ვიდრე ჩვენ ამას ვლაპარაკობდით,True,False,
ყრმაჲ,მსახური,False,False,
რაჲ გინებს,რა გინდა,True,False,
უწესს,"ეძახის, იწვევს",False,False,
დამიკჳრდა,გამიკვირდა,False,False,
რაჲსამე,რატომ,False,False,
მიწესს,"მეძახის, მიწვევს",False,False,
ამას ჟამსა,ამ დროს,True,False,
მივისწრაფე,სწრაფად წამოვედი,False,False,
"უწყია, ხუცეს","იცი, მღვდელო",True,False,
ბრძოლად წარვალ,საბრძოლველად მივდივარ,True,False,
ჰონები,იმიერკავკასიელი მომთაბარე ტომები,False,False,
ოდეს,"როდის, როცა",False,False,
იპოოს ვინმე,აღმოჩნდება ვინმე,True,False,
რომელმან განკაფოს,ვინც გაცვეთს (აქ: ვინც მოიხმარს),True,False,
მომართუ,მომართვი,False,False,
უთხარ,ვუთხარი,False,False,
